ip,City,Region,Country,Latitude,Longitude
123.182.110.0,Zhoutou,Hebei,China,37.8957,114.904
54.223.104.0,Beijing,Beijing,China,39.9288,116.3889
54.222.221.0,Beijing,Beijing,China,39.9288,116.3889
112.39.30.0,Shenyang,Liaoning,China,41.8057,123.431
54.222.223.0,Beijing,Beijing,China,39.9288,116.3889
39.146.6.0,Shenzhen,Guangdong,China,22.5431,114.058
61.52.46.0,Zhengzhou,Henan,China,34.7472,113.625
61.52.32.0,Zhengzhou,Henan,China,34.7472,113.625
114.100.2.0,Guangzhou,Guangdong,China,23.1181,113.2539
223.214.246.0,Rongcheng,Anhui,China,30.6007,117.925
52.81.172.0,Beijing,Beijing,China,39.9288,116.3889
27.38.230.0,Shenzhen,Guangdong,China,22.5559,114.0577
140.249.26.0,Xintai,Shandong,China,35.894,117.925
175.148.79.0,Shenyang,Liaoning,China,41.8057,123.431
175.165.15.0,Shenyang,Liaoning,China,41.8057,123.431
27.40.67.0,Shenzhen,Guangdong,China,22.5431,114.058
8.134.186.0,Guangzhou,Guangdong,China,23.1181,113.2539
52.80.111.0,Beijing,Beijing,China,39.9288,116.3889
153.36.125.0,Suzhou,Jiangsu,China,31.299,120.585
183.254.24.0,Shenzhen,Guangdong,China,22.5431,114.058
110.176.98.0,Taiyuan,Shanxi,China,37.8389,112.564
114.226.241.0,Changzhou,Jiangsu,China,31.7685,119.9527
1.82.194.0,Yintai,Shaanxi,China,35.394,109.188
223.215.32.0,Rongcheng,Anhui,China,30.6007,117.925
221.209.219.0,Harbin,Heilongjiang,China,45.7567,126.642
122.194.140.0,Jiuli,Jiangsu,China,34.2506,117.186
39.144.82.0,Tianjin,Tianjin,China,39.1488,117.1762
140.179.29.0,Beijing,Beijing,China,39.9288,116.3889
52.81.177.0,Beijing,Beijing,China,39.9288,116.3889
183.216.234.0,Ganzhou,Jiangxi,China,25.8443,114.929
39.144.139.0,Chengdu,Sichuan,China,30.6498,104.0555
175.154.173.0,Chengdu,Sichuan,China,30.5723,104.067
111.20.101.0,Shenzhen,Guangdong,China,22.5431,114.058
54.223.35.0,Beijing,Beijing,China,39.9288,116.3889
223.160.207.0,Shanghai,Shanghai,China,31.2304,121.474
47.92.30.0,Beijing,Beijing,China,39.911,116.395
8.142.42.0,Beijing,Beijing,China,39.911,116.395
120.206.16.0,Shenzhen,Guangdong,China,22.5431,114.058
60.255.173.0,Chengdu,Sichuan,China,30.651,104.088
39.144.179.0,Zhengzhou,Henan,China,34.7472,113.625
61.52.40.0,Zhengzhou,Henan,China,34.7472,113.625
125.43.77.0,Luoyang,Henan,China,34.6808,112.4531
115.54.219.0,Zhengzhou,Henan,China,34.7472,113.625
54.223.181.0,Beijing,Beijing,China,39.9288,116.3889
52.80.156.0,Beijing,Beijing,China,39.9288,116.3889
222.138.131.0,Zhengzhou,Henan,China,34.7472,113.625
54.222.222.0,Beijing,Beijing,China,39.9288,116.3889
54.223.183.0,Beijing,Beijing,China,39.9288,116.3889
111.40.76.0,Harbin,Heilongjiang,China,45.7567,126.642
223.104.40.0,Beijing,Beijing,China,39.911,116.395
113.26.0.0,Taiyuan,Shanxi,China,37.8648,112.5636
14.210.81.0,Xiaolou,Guangdong,China,23.379,113.763
180.163.28.0,Shanghai,Shanghai,China,31.2304,121.474
223.247.139.0,Rongcheng,Anhui,China,30.6007,117.925
182.114.109.0,Zhengzhou,Henan,China,34.7472,113.625
52.81.160.0,Beijing,Beijing,China,39.9288,116.3889
52.80.91.0,Beijing,Beijing,China,39.9288,116.3889
42.100.160.0,Harbin,Heilongjiang,China,45.7421,126.663
117.134.7.0,Jinrongjie,Beijing,China,39.9121,116.359
42.88.153.0,Yuzhong Chengguanzhen,Gansu,China,35.7518,104.286
223.64.32.0,Suzhou,Jiangsu,China,31.299,120.585
54.222.247.0,Beijing,Beijing,China,39.9288,116.3889
60.174.191.0,Ma'anshan,Anhui,China,31.6892,118.5121
39.144.169.0,Shenzhen,Guangdong,China,22.5431,114.058
49.234.34.0,Shanghai,Shanghai,China,31.2304,121.474
125.42.93.0,Zhengzhou,Henan,China,34.7472,113.625
39.144.38.0,Hefei,Anhui,China,31.8564,117.2661
112.96.35.0,Guangzhou,Guangdong,China,23.1181,113.2539
218.72.112.0,Hangzhou,Zhejiang,China,30.2994,120.1612
54.222.171.0,Beijing,Beijing,China,39.9288,116.3889
36.104.23.0,Lipu,Zhejiang,China,29.1416,119.789
39.107.142.0,Beijing,Beijing,China,39.911,116.395
182.148.22.0,Chengdu,Sichuan,China,30.6498,104.0555
223.104.41.0,Beijing,Beijing,China,39.911,116.395
112.45.246.0,Shenzhen,Guangdong,China,22.5431,114.058
183.194.239.0,Shenzhen,Guangdong,China,22.5431,114.058
1.29.108.0,Zhangzhou,Fujian,China,24.6391,117.199
39.144.156.0,Nanjing,Jiangsu,China,32.0589,118.7738
110.189.15.0,Nanchong,Sichuan,China,30.7927,106.0988
183.226.63.0,Chongqing,Chongqing,China,29.5689,106.5577
116.171.4.0,Zunyi,Guizhou,China,27.69,106.906
175.161.111.0,Shenyang,Liaoning,China,41.7806,123.4314
120.239.211.0,Zhuhai,Guangdong,China,22.2767,113.5788
111.18.92.0,Xi'an,Shaanxi,China,34.3287,109.0337
117.153.5.0,Shenzhen,Guangdong,China,22.5431,114.058
112.1.46.0,Nanjing,Jiangsu,China,32.0589,118.7738
175.148.69.0,Shenyang,Liaoning,China,41.8057,123.431
171.93.234.0,Chengdu,Sichuan,China,30.6498,104.0555
180.163.30.0,Shanghai,Shanghai,China,31.2304,121.474
39.144.50.0,Xinji,Hebei,China,37.9028,115.204
39.144.181.0,Zhengzhou,Henan,China,34.7472,113.625
182.100.12.0,Nanchang,Jiangxi,China,28.6796,115.8655
183.197.239.0,Langfang,Hebei,China,39.538,116.684
122.194.9.0,Wuxi,Jiangsu,China,31.5689,120.289
114.219.133.0,Shanghai,Shanghai,China,31.2222,121.4581
117.136.39.0,Shenzhen,Guangdong,China,22.5455,114.068
119.62.35.0,Kunming,Yunnan,China,25.0088,102.6513
103.107.219.0,Beijing,Beijing,China,39.9042,116.407
115.61.168.0,Zhengzhou,Henan,China,34.7472,113.625
223.104.44.0,Beijing,Beijing,China,39.911,116.395
122.14.229.0,Beijing,Beijing,China,39.9042,116.407
39.144.153.0,Suzhou,Jiangsu,China,31.3093,120.602
49.65.191.0,Nanjing,Jiangsu,China,32.0589,118.7738
42.55.255.0,Shenyang,Liaoning,China,41.8057,123.431
103.102.200.0,Beijing,Beijing,China,39.9042,116.407
101.24.237.0,Shijiazhuang,Hebei,China,38.0428,114.515
122.194.193.0,Yunlong,Jiangsu,China,34.2604,117.19
153.99.151.0,Nanjing,Jiangsu,China,32.0607,118.763
112.241.146.0,Weifang,Shandong,China,36.7069,119.162
119.143.36.0,Guangzhou,Guangdong,China,23.1181,113.2539
153.36.8.0,Suzhou,Jiangsu,China,31.299,120.585
183.198.248.0,Langfang,Hebei,China,39.538,116.684
49.86.118.0,Nanjing,Jiangsu,China,32.0589,118.7738
119.108.39.0,Shenyang,Liaoning,China,41.8057,123.431
42.176.224.0,Shenyang,Liaoning,China,41.8057,123.431
58.254.44.0,Shenzhen,Guangdong,China,22.5431,114.058
101.207.4.0,Chengdu,Sichuan,China,30.5723,104.067
175.160.56.0,Shenyang,Liaoning,China,41.8057,123.431
113.201.200.0,Xi'an,Shaanxi,China,34.3287,109.0337
117.129.42.0,Beijing,Beijing,China,39.911,116.395
111.48.77.0,Wuhan,Hubei,China,30.589,114.2681
112.7.129.0,Weifang,Shandong,China,36.7069,119.162
